day;weekend;holidays;holiday
01/01/2014;будни;нг;t
02/01/2014;будни;нг;f
03/01/2014;будни;нг;f
04/01/2014;вых;нг;f
05/01/2014;вых;нг;f
06/01/2014;будни;нг;f
07/01/2014;будни;нг;t
08/01/2014;будни;нг;f
09/01/2014;будни;-;f
10/01/2014;будни;-;f
11/01/2014;вых;-;f
12/01/2014;вых;-;f
13/01/2014;будни;-;f
14/01/2014;будни;-;f
15/01/2014;будни;-;f
16/01/2014;будни;-;f
17/01/2014;будни;-;f
18/01/2014;вых;-;f
19/01/2014;вых;-;f
20/01/2014;будни;-;f
21/01/2014;будни;-;f
22/01/2014;будни;-;f
23/01/2014;будни;-;f
24/01/2014;будни;-;f
25/01/2014;вых;-;f
26/01/2014;вых;-;f
27/01/2014;будни;-;f
28/01/2014;будни;-;f
29/01/2014;будни;-;f
30/01/2014;будни;-;f
31/01/2014;будни;-;f
01/02/2014;вых;-;f
02/02/2014;вых;-;f
03/02/2014;будни;-;f
04/02/2014;будни;-;f
05/02/2014;будни;-;f
06/02/2014;будни;-;f
07/02/2014;будни;-;f
08/02/2014;вых;-;f
09/02/2014;вых;-;f
10/02/2014;будни;-;f
11/02/2014;будни;-;f
12/02/2014;будни;-;f
13/02/2014;будни;-;f
14/02/2014;будни;-;f
15/02/2014;вых;-;f
16/02/2014;вых;-;f
17/02/2014;будни;-;f
18/02/2014;будни;-;f
19/02/2014;будни;-;f
20/02/2014;будни;-;f
21/02/2014;будни;-;f
22/02/2014;вых;23февраля;f
23/02/2014;вых;23февраля;t
24/02/2014;будни;23февраля;f
25/02/2014;будни;-;f
26/02/2014;будни;-;f
27/02/2014;будни;-;f
28/02/2014;будни;-;f
01/03/2014;вых;-;f
02/03/2014;вых;-;f
03/03/2014;будни;-;f
04/03/2014;будни;-;f
05/03/2014;будни;-;f
06/03/2014;будни;-;f
07/03/2014;будни;8марта;f
08/03/2014;вых;8марта;t
09/03/2014;вых;8марта;f
10/03/2014;будни;8марта;f
11/03/2014;будни;-;f
12/03/2014;будни;-;f
13/03/2014;будни;-;f
14/03/2014;будни;-;f
15/03/2014;вых;-;f
16/03/2014;вых;-;f
17/03/2014;будни;-;f
18/03/2014;будни;-;f
19/03/2014;будни;-;f
20/03/2014;будни;-;f
21/03/2014;будни;-;f
22/03/2014;вых;-;f
23/03/2014;вых;-;f
24/03/2014;будни;-;f
25/03/2014;будни;-;f
26/03/2014;будни;-;f
27/03/2014;будни;-;f
28/03/2014;будни;-;f
29/03/2014;вых;-;f
30/03/2014;вых;-;f
31/03/2014;будни;-;f
01/04/2014;будни;-;f
02/04/2014;будни;-;f
03/04/2014;будни;-;f
04/04/2014;будни;-;f
05/04/2014;вых;-;f
06/04/2014;вых;-;f
07/04/2014;будни;-;f
08/04/2014;будни;-;f
09/04/2014;будни;-;f
10/04/2014;будни;-;f
11/04/2014;будни;-;f
12/04/2014;вых;-;f
13/04/2014;вых;-;f
14/04/2014;будни;-;f
15/04/2014;будни;пасха;f
16/04/2014;будни;пасха;f
17/04/2014;будни;пасха;f
18/04/2014;будни;пасха;f
19/04/2014;вых;пасха;f
20/04/2014;вых;пасха;t
21/04/2014;будни;пасхастрастн;f
22/04/2014;будни;пасхастрастн;f
23/04/2014;будни;пасхастрастн;f
24/04/2014;будни;пасхастрастн;f
25/04/2014;будни;-;f
26/04/2014;вых;-;f
27/04/2014;вых;-;f
28/04/2014;будни;-;f
29/04/2014;будни;-;f
30/04/2014;будни;1мая;f
01/05/2014;будни;1мая;t
02/05/2014;будни;1мая;f
03/05/2014;вых;1мая;f
04/05/2014;вых;1мая;f
05/05/2014;будни;-;f
06/05/2014;будни;-;f
07/05/2014;будни;-;f
08/05/2014;будни;9мая;f
09/05/2014;будни;9мая;t
10/05/2014;вых;9мая;f
11/05/2014;вых;9мая;f
12/05/2014;будни;-;f
13/05/2014;будни;-;f
14/05/2014;будни;-;f
15/05/2014;будни;-;f
16/05/2014;будни;-;f
17/05/2014;вых;-;f
18/05/2014;вых;-;f
19/05/2014;будни;-;f
20/05/2014;будни;-;f
21/05/2014;будни;-;f
22/05/2014;будни;-;f
23/05/2014;будни;-;f
24/05/2014;вых;-;f
25/05/2014;вых;-;f
26/05/2014;будни;-;f
27/05/2014;будни;-;f
28/05/2014;будни;-;f
29/05/2014;будни;-;f
30/05/2014;будни;-;f
31/05/2014;вых;-;f
01/06/2014;вых;-;f
02/06/2014;будни;-;f
03/06/2014;будни;-;f
04/06/2014;будни;-;f
05/06/2014;будни;-;f
06/06/2014;будни;-;f
07/06/2014;вых;-;f
